color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
orange,GoofysPipe,PS4,GoofysPipe,10901,Shokunin GXT,151,38,0,0,0,0,4,5,5,0,430,50.89,956,781,175,11,15,114,54,60,1,5,18.43,23.11,246,305,45,1544,199669,69.19,46.65,54.12,36.49,25,16.86,87.46,58.98,55.32,37.3,5.52,3.72,2.05,0.17,12,68.8,61.9,2494,2211,2605,2708,82.07,55.34,66.23,44.66,100.52,67.78,47.78,32.22,71.34,48.11,57.9,39.04,19.06,12.85,0,1,bronze
orange,C.Reach_Around,Epic,12d18acb686a402caec3a5a1cc0aee22,4284,Fennec,151,18,0,0,0,0,4,5,0,0,236,37.49,539,187,352,2,30,168,87,81,1,7,25.31,10.05,127,18,14,1268,169040,96.88,64.06,45.08,29.81,9.27,6.13,106.39,70.35,44.85,29.65,0,0,4,0.15,26,65.5,69.6,2274,2318,2218,2708,90,59.51,61.24,40.49,108.5,71.74,42.74,28.26,79.17,52.35,47.22,31.22,24.85,16.43,0,0,bronze
blue,EPICKITTEN434,XBox,1d25a4cef5010900,4284,Fennec,370,555,3,0,1,3,6,2,1,100,441,50.35,2564,2101,463,24,42,452,273,179,3,16,47.57,44.1,388,314,36,1533,516932,159.61,43.16,161.01,43.54,49.2,13.3,212.23,57.39,143.37,38.77,14.22,3.85,4.56,0.17,27,170.9,187.3,2019,1951,2106,2612,242.86,65.67,126.96,34.33,245.58,66.4,124.25,33.6,185.09,50.05,108.41,29.31,76.32,20.64,0,0,bronze
blue,JaguarGod17,XBox,5ebd38e8f9010900,4284,Fennec,370,490,2,1,1,4,6,2,1,50,274,29.31,1423,840,583,9,49,438,200,238,2,20,69.46,26.79,246,63,0,1269,417706,232.57,63.39,116.56,31.77,17.74,4.84,257.44,70.17,106.38,29,3.05,0.83,0.07,0.07,1,195,160.5,2363,2267,2466,2612,262.41,71.53,104.46,28.47,260.19,70.92,106.68,29.08,203.57,55.49,103.82,28.3,59.48,16.21,1,1,bronze
orange,BOB0S11,Epic,24ab890b9efa465899da75027c4a9d42,4284,Fennec,370,522,2,0,1,4,7,5,4,50,391,48.58,2254,1620,634,18,49,488,252,236,3,21,33.27,56.42,438,183,50,1442,482173,200.11,54.53,133.84,36.47,33.02,9,230.45,62.8,121.48,33.1,15.05,4.1,5.49,0.1,55,207.5,147.5,2067,1880,2173,2775,270.5,73.71,96.47,26.29,222.45,60.62,144.52,39.38,155.28,42.31,128.73,35.08,82.96,22.61,1,1,bronze
orange,C.Reach_Around,Epic,12d18acb686a402caec3a5a1cc0aee22,4284,Fennec,370,174,0,0,2,2,7,5,1,0,249,31.32,1407,508,899,6,75,610,216,394,3,33,58.72,13.93,70,91,83,1298,430828,231.23,62.64,124.88,33.83,13.02,3.53,243.84,66.06,121.49,32.91,3.8,1.03,6.75,0.14,49,145.2,206.5,2346,2176,2518,2775,232.65,63.02,136.49,36.98,183.3,49.66,185.83,50.34,124.9,33.84,117.66,31.87,126.57,34.29,0,0,bronze
blue,alex28,Psynet,1142dfd436de33db,4284,Fennec,380,332,2,0,0,3,6,6,2,66.67,220,52.03,1519,1099,420,15,38,327,178,149,3,15,20.92,107.68,373,402,152,1370,461184,224.62,60.11,125.21,33.51,23.87,6.39,251.41,67.28,111.61,29.87,10.68,2.86,3.25,0.54,6,181.6,188.3,2911,2938,2917,3720,262.61,70.27,111.1,29.73,241.35,64.58,132.36,35.42,182.95,48.96,114.11,30.53,76.65,20.51,0,2,bronze
blue,THEGHOST0919,PS4,THEGHOST0919,23,Octane,380,182,0,1,0,0,6,6,4,0,296,62.72,1817,1367,450,21,39,284,141,143,2,13,41.1,40.7,507,656,70,1359,449329,218.05,58.54,126.13,33.86,28.3,7.6,250.21,67.18,118.72,31.87,3.54,0.95,1.72,0.22,8,189.4,172.7,2722,2839,2690,3720,283.23,76.04,89.25,23.96,266.01,71.42,106.46,28.58,200.54,53.84,115.25,30.94,56.69,15.22,0,1,bronze
orange,Al0t4,Epic,75f3455f2cae4d6ba27e4b0bfe80e34f,4284,Fennec,380,816,4,1,1,4,3,2,1,100,391,45.83,2338,1948,390,23,33,299,168,131,2,11,37.94,46.69,145,239,31,1490,503866,181.77,47.87,151.87,39.99,46.09,12.14,190.63,50.2,171.05,45.05,18.04,4.75,1.01,0.07,15,150.3,213,1890,1768,1873,2903,272.87,71.86,106.85,28.14,252.36,66.46,127.36,33.54,206.54,54.39,93.19,24.54,79.99,21.07,3,0,bronze
orange,SenditCoop11,XBox,25e6ac75f6010900,23,Octane,380,330,2,1,0,2,3,2,1,100,192,48.01,1268,543,725,7,64,220,0,220,0,20,27.98,14.7,83,172,12,1278,440351,242.08,63.76,120.19,31.66,17.41,4.59,257.94,67.94,115.04,30.3,6.69,1.76,3.02,0.5,6,205.8,154.6,2749,2696,2830,2903,296.13,78,83.53,22,264.64,69.7,115.03,30.3,206.26,54.33,107.08,28.2,66.33,17.47,0,0,bronze
blue,GoofysPipe,PS4,GoofysPipe,10901,Shokunin GXT,263,803,3,1,2,7,6,1,1,42.86,353,43.92,1355,1046,309,13,27,263,166,97,2,9,45.67,23.78,238,253,33,1312,315882,154.79,59.45,78.92,30.31,26.68,10.25,158.74,60.96,99.89,38.36,1.76,0.68,6.22,0.27,23,147.9,98,2364,2409,2255,3001,190.38,73.12,70,26.88,179.81,69.06,80.57,30.94,143.27,55.02,59.4,22.81,57.72,22.17,0,1,bronze
blue,C.Reach_Around,Epic,12d18acb686a402caec3a5a1cc0aee22,4284,Fennec,263,324,1,2,0,1,6,1,0,100,274,39.82,1111,665,446,10,39,440,295,145,4,13,43.44,26.06,171,181,38,1356,325219,146.63,56.34,98.81,37.97,14.81,5.69,160.14,61.53,97.22,37.36,2.89,1.11,6.9,0.16,44,101.7,147.1,2190,1942,2431,3001,165.21,63.48,95.04,36.52,159.09,61.13,101.15,38.87,128.6,49.42,61.47,23.62,70.17,26.96,0,0,bronze
orange,Azheneth,Epic,5c1e11ae7667482ba85ba8f9b2799040,4284,Fennec,263,449,1,0,3,5,8,4,1,20,247,34.6,766,311,455,4,38,169,0,169,0,14,33.48,24.16,174,88,0,1253,302610,182.38,69.71,65.67,25.1,13.56,5.18,176.6,67.5,85.02,32.5,0,0,2.93,0.24,12,140.2,105.7,2310,1846,2554,2564,185.45,70.89,76.16,29.11,156.17,59.69,105.45,40.31,119.63,45.73,71.35,27.27,70.64,27,1,0,bronze
orange,Belserion_10,Epic,70f06952927f4d82bdfe4956660d1d70,4284,Fennec,263,110,0,1,0,1,8,4,3,0,381,54.34,1741,1470,271,19,24,551,419,132,6,11,45.16,36.43,374,435,180,1507,367960,128.23,48.69,101.3,38.46,33.84,12.85,153.68,58.35,105.98,40.24,3.71,1.41,2.5,0.25,10,105.4,141.7,2643,2145,3030,2564,157.32,59.74,106.04,40.26,148.09,56.23,115.27,43.77,106.18,40.32,72.54,27.54,84.64,32.14,0,0,bronze
blue,GoofysPipe,PS4,GoofysPipe,10901,Shokunin GXT,344,818,3,0,3,7,4,2,1,42.86,367,50.72,2014,1550,464,18,43,543,367,176,4,16,40.77,24.17,234,263,32,1376,443926,190.04,55.21,134.79,39.16,19.38,5.63,195.02,56.66,132.09,38.37,17.11,4.97,7.86,0.16,48,171.4,184.1,1768,1574,2084,2666,245.38,71.29,98.83,28.71,190.96,55.48,153.25,44.52,154.02,44.74,67.89,19.72,122.31,35.53,4,0,bronze
blue,C.Reach_Around,Epic,12d18acb686a402caec3a5a1cc0aee22,4284,Fennec,344,122,0,1,0,1,4,2,1,0,215,39.9,1277,614,663,8,58,376,166,210,2,19,45.89,25.3,50,187,33,1334,397528,215.9,63.3,109.36,32.06,15.8,4.63,230.88,67.69,106.35,31.18,3.83,1.12,7.34,0.18,40,189.9,141.5,2371,2577,1925,2666,247.4,72.54,93.66,27.46,209.19,61.34,131.87,38.66,145.32,42.61,117.58,34.47,78.16,22.92,0,1,bronze
orange,iamyodaddyy23,PS4,iamyodaddyy23,7901,Fast & Furious Mazda RX-7,344,474,2,0,1,3,8,3,1,66.67,419,46.79,2179,1599,580,17,51,371,100,271,1,24,63.19,23.15,422,115,10,1475,471803,161.57,47.8,139.54,41.28,36.93,10.92,198.2,58.63,135.34,40.04,4.51,1.33,7.83,0.24,33,132.3,200,2225,1857,2394,2909,225.34,66.66,112.71,33.34,205.29,60.73,132.76,39.27,156.72,46.36,102.85,30.42,78.48,23.22,1,2,bronze
orange,nachobalta30;PS4;nachobalta30;11949,nachobalta30,PS4,nachobalta30,11949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze
blue,Izz_Ken,PS4,Izz_Ken,23,Octane,425,837,4,0,2,8,13,8,5,50,426,53.19,2852,2352,500,29,38,418,326,92,4,8,40.15,50.75,669,563,73,1353,497114,245.36,58.52,132.23,31.54,41.65,9.93,249.55,59.52,154.81,36.93,14.88,3.55,0,0,0,162.9,260.6,2539,2231,2784,3090,277.92,66.29,141.31,33.71,278.82,66.51,140.42,33.49,228.59,54.52,101.8,24.28,88.85,21.19,1,1,bronze
blue,2Makishima3,Epic,3f89592071ce4e90980b0a7f8c515a99,4284,Fennec,425,166,0,0,2,0,13,8,3,0,186,37.01,1172,860,312,11,26,135,39,96,1,8,80.51,51.57,124,240,60,1164,391139,320.44,76.49,85.76,20.47,12.72,3.04,314.37,75.04,101.94,24.33,2.62,0.63,2.18,0.36,6,254.2,142.8,2996,3260,2609,3090,319.54,76.28,99.39,23.72,327.63,78.21,91.29,21.79,261.4,62.4,125.87,30.05,31.65,7.56,1,0,bronze
orange,F-G-E-X5,PS4,F-G-E-X5,23,Octane,425,1260,8,0,1,12,8,4,4,66.67,513,46.28,3061,2545,516,32,46,818,541,277,6,24,59.26,48.21,387,654,58,1586,590540,179.59,42.78,168.35,40.1,71.86,17.12,200.57,47.78,198.08,47.18,21.15,5.04,6.15,0.13,48,246.6,203.2,2337,2155,2527,3215,326.18,77.7,93.61,22.3,258.96,61.69,160.84,38.31,192.95,45.96,128.47,30.6,98.38,23.43,1,2,bronze
orange,jeronimoXZR,PS4,jeronimoXZR,23,Octane,425,98,0,1,0,1,8,4,0,0,137,41.83,768,523,245,7,22,136,52,84,1,7,40.04,43.4,79,181,47,1258,383093,259.3,73.94,79.64,22.71,11.76,3.35,268.63,76.6,82.06,23.4,0,0,0,0,0,140.4,177.6,3131,3233,3056,3215,244.44,69.7,106.25,30.3,193.61,55.21,157.08,44.79,141.36,40.31,117.64,33.54,91.7,26.15,0,0,bronze
blue,Fxbi_boxed_u,PS4,Fxbi_boxed_u,4284,Fennec,372,465,3,0,0,3,6,3,0,100,281,48.77,1599,1164,435,16,37,422,250,172,3,15,37.73,24.03,247,442,56,1335,434650,217.71,59.72,110.44,30.3,36.39,9.98,204.26,56.03,142.1,38.98,18.17,4.98,0.23,0.23,1,144.6,203.4,2058,1742,2482,2619,226.83,62.23,137.7,37.77,238.59,65.45,125.95,34.55,183.29,50.28,101.39,27.81,79.86,21.91,0,2,bronze
blue,wizkox,Epic,07b4c1049df249899feb5386d68359be,4284,Fennec,372,343,1,0,2,3,6,3,3,33.33,305,37.18,1691,1109,582,14,50,229,145,84,2,7,76.25,29,241,281,38,1401,476505,195.34,52.83,151.73,41.04,22.68,6.13,259.59,70.21,101.58,27.47,8.57,2.32,5.77,0.34,17,215.5,142.2,2328,2263,2446,2619,268.55,72.63,101.19,27.37,269.04,72.77,100.69,27.23,198.5,53.69,120.15,32.5,51.09,13.82,1,0,bronze
orange,Gabbo_elmachico,PS4,Gabbo_elmachico,4284,Fennec,372,310,2,0,0,5,6,4,2,40,408,50.8,2262,1919,343,23,31,845,752,93,8,8,63.73,49.9,986,404,47,1393,466109,206.05,55.97,111.87,30.39,50.25,13.65,242.61,65.9,113.59,30.85,11.97,3.25,0,0,0,196.5,155.9,2836,2881,2817,2773,249.41,67.74,118.76,32.26,208.06,56.51,160.11,43.49,155.39,42.2,111.21,30.21,101.58,27.59,2,1,bronze
orange,Anto11GPROO;PS4;Anto11GPROO;8383,Anto11GPROO,PS4,Anto11GPROO,8383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze
blue,avada67,Epic,bb473c70940646e49a0c48c25973cf04,4284,Fennec,262,583,4,0,0,4,3,0,0,100,196,40.22,817,376,441,5,37,231,87,144,1,12,36.99,5.01,333,123,12,1400,344354,153.81,58.59,88.33,33.65,20.38,7.76,172.77,65.81,87.11,33.18,2.63,1,2.12,0.53,4,103,151.5,2266,1813,2693,2429,190.6,72.61,71.91,27.39,147.66,56.25,114.85,43.75,110.51,42.1,73.61,28.04,78.39,29.86,0,0,bronze
blue,diegolplay4god,PS4,diegolplay4god,597,DeLorean Time Machine,262,115,0,0,1,0,3,0,0,0,183,42.64,844,514,330,6,29,113,0,113,0,11,50.07,28.57,140,96,10,1384,341531,138.59,52.88,110.36,42.11,13.11,5,186.81,71.29,75.25,28.71,0,0,6.15,0.51,12,150.7,103.5,2840,2850,2898,2429,220.87,84.28,41.2,15.72,161.88,61.77,100.19,38.23,122.94,46.91,83.26,31.77,55.87,21.32,0,0,bronze
orange,Al0t4,Epic,75f3455f2cae4d6ba27e4b0bfe80e34f,4284,Fennec,262,124,0,0,0,1,4,4,1,0,325,53.1,1380,1069,311,14,26,277,87,190,1,16,26.21,21.95,65,183,12,1302,313984,156.36,59.92,92.07,35.28,12.51,4.79,140.42,53.82,111.74,42.82,8.77,3.36,0.52,0.07,7,145.5,114,1669,1473,1966,2075,187.55,71.88,73.38,28.12,177.16,67.9,83.77,32.1,151.05,57.89,47.68,18.27,62.2,23.84,0,0,bronze
orange,May_2023-carnal,PS4,May_2023-carnal,7901,Fast & Furious Mazda RX-7,262,108,0,0,0,2,4,4,3,0,329,50.05,1461,1187,274,16,24,485,398,87,5,8,37.23,32.78,522,413,102,1415,348365,137.64,52.42,94.39,35.95,30.53,11.63,151.43,57.68,104.92,39.96,6.2,2.36,3.08,0.22,14,119.9,148.1,1868,1506,2325,2075,146.64,55.85,115.91,44.15,165.66,63.1,96.89,36.9,129.73,49.41,70.46,26.84,62.37,23.75,0,0,bronze
blue,BOB0S11,Epic,24ab890b9efa465899da75027c4a9d42,4284,Fennec,356,266,0,0,2,2,7,4,3,0,360,52.39,1972,1556,416,18,37,467,387,80,4,8,12.45,38.03,269,243,12,1308,398417,227.32,64.11,104.96,29.6,22.29,6.29,217.64,61.38,126.53,35.69,10.4,2.93,5.03,0.11,46,211.2,137.2,2313,1827,2674,2870,247.11,69.69,107.46,30.31,250.04,70.52,104.53,29.48,208.78,58.88,73.03,20.6,72.76,20.52,0,0,bronze
blue,C.Reach_Around,Epic,12d18acb686a402caec3a5a1cc0aee22,4284,Fennec,356,212,1,0,0,2,7,4,1,50,248,37.39,1554,794,760,10,66,288,87,201,1,18,29.73,20.54,144,181,12,1305,429207,228.58,64.62,104.08,29.42,21.07,5.96,243.11,68.73,109.91,31.07,0.7,0.2,5.28,0.15,35,159.4,203.3,2250,2056,2409,2870,204.99,57.95,148.73,42.05,217.45,61.48,136.27,38.52,156.69,44.3,122.5,34.63,74.54,21.07,0,0,bronze
orange,brgryx,XBox,45e400bbf7010900,403,Dominus,356,707,4,0,1,5,4,1,1,80,305,52.83,1766,1403,363,17,26,483,352,131,4,11,37.76,69.03,238,304,47,1313,432807,208.45,58.96,116.07,32.83,29.02,8.21,205.6,58.15,137.74,38.96,10.21,2.89,0.47,0.16,3,192.3,149.1,2190,2290,2031,3141,280.22,79.26,73.33,20.74,202.08,57.16,151.47,42.84,150.92,42.69,105.49,29.84,97.14,27.48,0,0,bronze
orange,xCh1efKeith,XBox,36a54928f7010900,4284,Fennec,356,208,0,1,1,2,4,1,0,0,248,49.25,1543,943,600,14,51,542,225,317,4,27,39.24,41.38,149,471,182,1219,408016,239.15,67.15,104.48,29.34,12.52,3.52,246.83,69.31,106.63,29.94,2.67,0.75,16.65,0.24,69,152,188.8,2529,2292,2808,3141,273.96,76.92,82.18,23.08,176.83,49.65,179.31,50.35,125.66,35.28,122.27,34.33,108.22,30.39,0,0,bronze
